brand,model_name,slug,제조 업체,주문 번호,카메라 카테고리,카메라 시리즈,보증 (Warranty),센서 공급업체,센서,셔터,센서 타입,해상도 (HxV),픽셀 사이즈 HxV,라인 속도,모노크롬/컬러,빛스펙트럼,인터페이스,픽셀 비트 깊이,동기화,카메라 I/O 커넥터,전원 공급,하우징 종류,보호 등급,하우징 ‍사이즈 (L x W x H),무게 (Weight),렌즈 마운트,작동 온도,Basler,Conformity,제품군,제품 라인,센서 포맷,센서 대각선 길이,센서 크기,프레임 속도,카메라 데이터 커넥터,이미지 데이터 인터페이스,노출 제어,디지털 입력,범용 I/O,전원 요구사항 (일반적),측정된,양자 효율 (일반/최소),다크 노이즈 (일반/최대),포화 용량 (일반/최소),"다이나믹 레인지 (Dinamic Range, 일반/최소)",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),기준,FOV (Field of View),심도(Depth) 이미지 해상도 및 FPS,측정 방식,"에고 모션(Ego-motion, IMU)",작업 범위,운영 체제,양산,소모 전력 PoE,해상도,디지털 출력,작동 중 주변 온도,Compression Beyond 사용시 프레임 속도,비디오 출력 유형,Camera Link ‍Clock,파장 (Wavelength),스트리밍 형식,정확도( Accuracy),템포럴 노이즈,지연 (Latency),조명 (Illumination),햇빛에서의 내구성,데이터 커넥터,전원 공급 장치,구성 요소,표준,프로그래밍 언어,타사 지원,마운팅 포인트,하우징 대체품,‍이미지 처리,양자 효율 - 녹색 (일반/최소),양자 효율 - 파란색 (일반/최소),양자 효율 - 빨간색 (일반/최소),납품 범위,심도(Depth) 해상도,작업 공간,초점 거리,프로세서 제조업체,수평 해상도(X축),높이 해상도 (Z축),배율,광원,이격 거리 (Clearance Distance),Heliotis,반복정밀도 (Z축),레이저 등급,Z축 선형성(+/- % of MR),스캔 속도,데이터포인트/프로파일,측정 거리,LMI,JAI
Basler,STA-100-547C-082609-W,sta-100-547c-082609-w,Basler,109520,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,2472 px × 2064 px,,,Color,,GigE,,,,24V DC,,IP50,131.9 mm x 145.8 mm x 70 mm,1500 g,,,,EAC,,,,,,,,,,,,,,,,,,,100 mm,,3 - 10 fps (depends on the configuration of the camera and the hardware of the host system),,,0.6 m - 2 m,ARM Linux (AArch64) / Linux (x86_64) / Windows,,,,,,,,,,,,,,,,2 x RJ45,"M12, 8-pin, female, Type A",,,,,,,,,,,"1 x Camera, Stereo ace2 x Trigger Cable, M8 8-pin to M8 8-pin1 x Mounting Bracket Stereo ace (incl. 3x socket screws M5 x 12)",0.10 mm at 0.6 m / 0.28 mm at 1 m / 0.64 mm at 1.5 m / 1.13 mm at 2 m,433 x 442 mm at 0.6 m / 789 x 737 mm at 1.0 m / 1233 x 1106 mm at 1.5 m / 1677 x 1475 mm at 2.0 m,,,,,,,,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 1.5x,heliotis-sensor-h9-1-5x,Heliotis,1456,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,8.19 x 8.70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 μm,100 nm,1.5x,Blue LED / Red LED,51.0 nm,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 0.5x,heliotis-sensor-h9-0-5x,Heliotis,1459,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,24.58 x 26.11 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 μm,100 nm,0.5x,Blue LED / Red LED,51.0 nm,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 0.8x,heliotis-sensor-h9-0-8x,Heliotis,1458,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,15.36 x 16.32 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 μm,100 nm,0.8x,Blue LED / Red LED,51.0 nm,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 2x,heliotis-sensor-h9-2x,Heliotis,1455,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,6.14 x 6.53 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 μm,100 nm,2x,Blue LED / Red LED,49.0 nm,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 3x,heliotis-sensor-h9-3x,Heliotis,1454,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,4.10 x 4.35 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 μm,100 nm,3x,Blue LED / Red LED,49.0 nm,,,,,,,,,
Basler,HeliotisHeliotis Sensor H9 1x,heliotis-sensor-h9-1x,Heliotis,1457,3D 카메라,Heliotis heliInspect H9,,Heliotis proprietary,heliSens S4,,Area Sensor,512 px × 542 px,,,Mono,,GigE,,,,,,,299.5 mm x 60 mm x 216 mm,,,,,,,,,,,,,,,,,,,,,,,,,12.29 x 13.06 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 μm,100 nm,1x,Blue LED / Red LED,51.0 nm,,,,,,,,,
Basler,LMILMI Sensor Gocator 2610,lmi-sensor-gocator-2610,LMI,2725,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,116 mm x 125 mm x 50 mm,900 g,,,,,,,,,,,,,,,,,,,,,,,,10.2 - 10.8 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 μm,,,Blue laser (405 nm),19.5 mm,,0.22 nm,"2, 3R, 3B",0.015 %,approx. 1.1 kHz - 9 kHz,4192.0000,5 mm,,
Basler,LMILMI Sensor Gocator 2540,lmi-sensor-gocator-2540,LMI,2723,3D 카메라,LMI Gocator 2500,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 195 mm x 55 mm,1480 g,,,,,,,,,,,,,,,,,,,,,,,,120 - 292 mm (diffuse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 - 160 μm,,,"Blue laser (405 nm), Red laser (660 nm)",152 mm,,1.2 nm,"2, 3R, 3B",0.05 %,approx. 1.7 kHz - 20 kHz,1920.0000,295 mm,,
Basler,LMILMI Sensor Gocator 5516,lmi-sensor-gocator-5516,LMI,2739,3D 카메라,LMI Gocator 5500,,,,,Line Confocal Sensor,,,,Mono,,GigE,,,,,,,358 mm x 440 mm x 113 mm,21000 g,,,,,,,,,,,,,,,,,,,,,,,,17 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9 μm,,,Polychromatic Light Source,61.3 mm,,0.42 nm,,0.42 %,approx. 3.8 kHz - 38 kHz,1792.0000,5.5 mm,,
Basler,LMILMI Sensor Gocator 2629,lmi-sensor-gocator-2629,LMI,2727,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 165 mm x 55 mm,1340 g,,,,,,,,,,,,,,,,,,,,,,,,71 - 93 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 23 μm,,,"Blue laser (405 nm), Red laser (660 nm)",110 mm,,0.3 nm,"2, 3R, 3B",0.03 %,approx. 2.5 kHz - 9 kHz,4192.0000,45 mm,,
